Title,Link
"OpenAI and Apple Announce Partnership","https://openai.com/index/openai-and-apple-announce-partnership/"
"macOS Sequoia Preview","https://www.apple.com/macos/macos-sequoia-preview/"
"Introducing Apple Intelligence, the personal intelligence system","https://www.apple.com/newsroom/2024/06/introducing-apple-intelligence-for-iphone-ipad-and-mac/"
"Apple blocks PC emulator in iOS App Store and third-party app stores","https://9to5mac.com/2024/06/09/apple-blocks-pc-emulator-utm-app-store/"
"Show HN: Probabilistic Tic-Tac-Toe","https://www.csun.io/2024/06/08/probabilistic-tic-tac-toe.html"
"Sending Emails to my three-year-old","https://blog.haschek.at/2024/leaving-a-digital-legacy.html"
"Mexican Computers: A Brief Technical and Historical Overview","https://arxiv.org/abs/2406.04912"
"Apple is launching its own password manager app","https://techcrunch.com/2024/06/10/apple-is-launching-its-own-password-manager-app/"
"pico9918: A replacement TMS9918A/TMS9929A VDP using a Raspberry Pi Pico","https://github.com/visrealm/pico9918"
"How Two Rebel Physicists Changed Quantum Theory","https://daily.jstor.org/how-two-rebel-physicists-changed-quantum-theory/"
